Ticker,Strat_CAGR,Strat_Sharpe,Strat_MaxDD,Strat_HitRate,BH_CAGR,BH_Sharpe,BH_MaxDD,BH_HitRate,TradeRate,SLTP_Mode
CDR.WA,-0.06853301342376594,-0.5165400364175156,-0.23902687289002988,0.0681044267877412,0.293695339797033,0.849210573541392,-0.416470606186811,0.5141884222474461,0.1112372304199773,atr
PKN.WA,0.011006291923543188,0.1651333383232122,-0.13609245482172072,0.06923950056753689,0.11284716174476661,0.5037286262995864,-0.3940345602378811,0.5187287173666288,0.1021566401816118,atr
PKO.WA,0.05593702848979887,0.4532921272260259,-0.19838379759232083,0.10442678774120318,0.39808197747009166,1.1954008068198532,-0.26130655192897734,0.5175936435868331,0.15891032917139614,atr
KGH.WA,0.12548068690513903,0.9734502612271393,-0.20616633433616527,0.1021566401816118,0.32195430644226053,0.9101595902635898,-0.3735294117647062,0.5051078320090806,0.14074914869466515,atr
PZU.WA,0.05127300718670069,0.4592453028850516,-0.15444692784776992,0.1021566401816118,0.271571003642439,0.981972445460452,-0.2945945671012813,0.5300794551645857,0.1623155505107832,atr
AAPL,0.011201230866614065,0.18230124573237744,-0.13720826245813578,0.07336343115124154,0.1954532183443154,0.7905935739556845,-0.33433709566004,0.5338600451467269,0.11963882618510158,atr
MSFT,0.023193481468708033,0.4216548171242672,-0.08226292626277587,0.06659142212189616,0.18906320526710174,0.8115590613474579,-0.2699424162305639,0.5248306997742663,0.10270880361173815,atr
NVDA,0.007788320340729404,0.12584450762913507,-0.2523860188620508,0.08690744920993228,1.0619669236013443,1.6655146939324923,-0.41571688017919817,0.54627539503386,0.1433408577878104,atr
AMZN,-0.02312206140110351,-0.13364618914206602,-0.2017719593134215,0.11399548532731377,0.2593581358373829,0.8414408985559205,-0.4348666916377667,0.5225733634311512,0.18623024830699775,atr
TSLA,0.09177465128782702,0.458558501825221,-0.2365158306304762,0.11399548532731377,0.2136629842310649,0.6201181602817359,-0.6505237426791657,0.5146726862302483,0.2110609480812641,atr
SPY,-0.01037387817466262,-0.18277418739837223,-0.10623826457840091,0.07562076749435666,0.1863215680397332,1.1073575244073977,-0.18998904129504912,0.5507900677200903,0.1162528216704289,atr
