Date,Close,High,Low,P_trade,AllowTrade,TA_Direction,DesiredPos,Position
2022-07-01,29.979999542236328,30.440000534057617,29.940000534057617,,0.0,0.0,0.0,0
2022-07-04,30.020000457763672,30.299999237060547,29.479999542236328,,0.0,0.0,0.0,0
2022-07-05,29.040000915527344,30.270000457763672,28.950000762939453,,0.0,0.0,0.0,0
2022-07-06,29.09000015258789,29.5,28.829999923706055,,0.0,0.0,0.0,0
2022-07-07,29.8799991607666,30.1200008392334,29.079999923706055,,0.0,0.0,0.0,0
2022-07-08,30.350000381469727,30.690000534057617,29.709999084472656,,0.0,0.0,0.0,0
2022-07-11,30.829999923706055,31.06999969482422,30.040000915527344,,0.0,0.0,0.0,0
2022-07-12,29.690000534057617,30.56999969482422,29.43000030517578,,0.0,0.0,0.0,0
2022-07-13,29.899999618530273,30.25,29.350000381469727,,0.0,0.0,0.0,0
2022-07-14,29.649999618530273,30.09000015258789,29.219999313354492,,0.0,0.0,0.0,0
2022-07-15,29.420000076293945,29.690000534057617,29.049999237060547,,0.0,0.0,0.0,0
2022-07-18,30.459999084472656,30.530000686645508,29.6299991607666,,0.0,0.0,0.0,0
2022-07-19,29.93000030517578,30.270000457763672,29.579999923706055,,0.0,0.0,0.0,0
2022-07-20,30.0,30.43000030517578,29.81999969482422,,0.0,0.0,0.0,0
2022-07-21,29.959999084472656,30.100000381469727,29.010000228881836,,0.0,0.0,0.0,0
2022-07-22,30.100000381469727,30.3799991607666,29.8700008392334,,0.0,0.0,0.0,0
2022-07-25,30.18000030517578,30.6299991607666,29.940000534057617,,0.0,0.0,0.0,0
2022-07-26,29.459999084472656,30.200000762939453,29.020000457763672,,0.0,0.0,0.0,0
2022-07-27,29.450000762939453,29.90999984741211,29.239999771118164,,0.0,0.0,0.0,0
2022-07-28,29.729999542236328,30.020000457763672,29.3700008392334,,0.0,0.0,0.0,0
2022-07-29,30.280000686645508,30.280000686645508,29.549999237060547,,0.0,0.0,0.0,0
2022-08-01,30.31999969482422,30.770000457763672,30.040000915527344,,0.0,0.0,0.0,0
2022-08-02,30.15999984741211,30.579999923706055,30.030000686645508,,0.0,0.0,0.0,0
2022-08-03,30.049999237060547,30.450000762939453,29.81999969482422,,0.0,0.0,0.0,0
2022-08-04,30.100000381469727,30.389999389648438,29.850000381469727,,0.0,0.0,0.0,0
2022-08-05,29.56999969482422,30.270000457763672,29.479999542236328,,0.0,0.0,0.0,0
2022-08-08,30.799999237060547,30.829999923706055,29.6299991607666,,0.0,0.0,0.0,0
2022-08-09,30.81999969482422,31.049999237060547,30.40999984741211,,0.0,0.0,0.0,0
2022-08-10,30.3700008392334,30.920000076293945,29.920000076293945,,0.0,0.0,0.0,0
