Date,Close,High,Low,P_trade,AllowTrade,TA_Direction,DesiredPos,Position
2022-07-01,381.239990234375,381.70001220703125,373.79998779296875,,0.0,0.0,0.0,0
2022-07-05,381.9599914550781,381.9800109863281,372.8999938964844,,0.0,0.0,0.0,0
2022-07-06,383.25,385.8699951171875,379.6000061035156,,0.0,0.0,0.0,0
2022-07-07,388.989990234375,389.8299865722656,383.2699890136719,,0.0,0.0,0.0,0
2022-07-08,388.6700134277344,390.6400146484375,385.6600036621094,,0.0,0.0,0.0,0
2022-07-11,384.2300109863281,386.8699951171875,383.5,,0.0,0.0,0.0,0
2022-07-12,380.8299865722656,386.1600036621094,378.989990234375,,0.0,0.0,0.0,0
2022-07-13,378.8299865722656,381.9200134277344,374.6600036621094,,0.0,0.0,0.0,0
2022-07-14,377.9100036621094,379.04998779296875,371.0400085449219,,0.0,0.0,0.0,0
2022-07-15,385.1300048828125,385.25,380.5400085449219,,0.0,0.0,0.0,0
2022-07-18,381.95001220703125,389.0899963378906,380.6600036621094,,0.0,0.0,0.0,0
2022-07-19,392.2699890136719,392.8699951171875,385.3900146484375,,0.0,0.0,0.0,0
2022-07-20,394.7699890136719,396.260009765625,391.0299987792969,,0.0,0.0,0.0,0
2022-07-21,398.7900085449219,398.8399963378906,391.6300048828125,,0.0,0.0,0.0,0
2022-07-22,395.0899963378906,400.17999267578125,392.75,,0.0,0.0,0.0,0
2022-07-25,395.57000732421875,396.4700012207031,393.2099914550781,,0.0,0.0,0.0,0
2022-07-26,390.8900146484375,394.05999755859375,389.95001220703125,,0.0,0.0,0.0,0
2022-07-27,401.0400085449219,402.8800048828125,394.04998779296875,,0.0,0.0,0.0,0
2022-07-28,406.07000732421875,406.79998779296875,398.1499938964844,,0.0,0.0,0.0,0
2022-07-29,411.989990234375,413.0299987792969,406.7699890136719,,0.0,0.0,0.0,0
2022-08-01,410.7699890136719,413.4100036621094,408.3999938964844,,0.0,0.0,0.0,0
2022-08-02,408.05999755859375,413.0,406.82000732421875,,0.0,0.0,0.0,0
2022-08-03,414.45001220703125,415.67999267578125,410.0,,0.0,0.0,0.0,0
2022-08-04,414.1700134277344,415.0899963378906,412.44000244140625,,0.0,0.0,0.0,0
2022-08-05,413.4700012207031,414.1499938964844,409.6000061035156,,0.0,0.0,0.0,0
2022-08-08,412.989990234375,417.6199951171875,411.8299865722656,,0.0,0.0,0.0,0
2022-08-09,411.3500061035156,412.75,410.2200012207031,,0.0,0.0,0.0,0
2022-08-10,419.989990234375,420.1400146484375,416.7200012207031,,0.0,0.0,0.0,0
2022-08-11,419.989990234375,424.95001220703125,419.2099914550781,,0.0,0.0,0.0,0
2022-08-12,427.1000061035156,427.2099914550781,421.0299987792969,,0.0,0.0,0.0,0
2022-08-15,428.8599853515625,429.4100036621094,424.7099914550781,,0.0,0.0,0.0,0
2022-08-16,429.70001220703125,431.7300109863281,426.8800048828125,,0.0,0.0,0.0,0
2022-08-17,426.6499938964844,429.5,424.5400085449219,,0.0,0.0,0.0,0
2022-08-18,427.8900146484375,428.6099853515625,425.5,,0.0,0.0,0.0,0
2022-08-19,422.1400146484375,425.260009765625,421.2200012207031,,0.0,0.0,0.0,0
2022-08-22,413.3500061035156,417.2300109863281,412.3999938964844,,0.0,0.0,0.0,0
2022-08-23,412.3500061035156,415.4200134277344,411.7699890136719,,0.0,0.0,0.0,0
2022-08-24,413.6700134277344,415.1099853515625,411.3900146484375,,0.0,0.0,0.0,0
2022-08-25,419.510009765625,419.55999755859375,414.0899963378906,,0.0,0.0,0.0,0
2022-08-26,405.30999755859375,419.9599914550781,405.25,,0.0,0.0,0.0,0
2022-08-29,402.6300048828125,405.8399963378906,401.20001220703125,,0.0,0.0,0.0,0
2022-08-30,398.2099914550781,404.1000061035156,396.0,,0.0,0.0,0.0,0
2022-08-31,395.17999267578125,401.239990234375,395.0400085449219,,0.0,0.0,0.0,0
2022-09-01,396.4200134277344,396.7799987792969,390.0400085449219,,0.0,0.0,0.0,0
2022-09-02,392.239990234375,401.55999755859375,390.3299865722656,,0.0,0.0,0.0,0
2022-09-06,390.760009765625,394.1199951171875,388.4200134277344,,0.0,0.0,0.0,0
2022-09-07,397.7799987792969,398.5899963378906,390.20001220703125,,0.0,0.0,0.0,0
2022-09-08,400.3800048828125,400.8599853515625,394.1199951171875,,0.0,0.0,0.0,0
2022-09-09,406.6000061035156,407.510009765625,402.4599914550781,,0.0,0.0,0.0,0
2022-09-12,410.9700012207031,411.7300109863281,408.4599914550781,,0.0,0.0,0.0,0
2022-09-13,393.1000061035156,403.1000061035156,391.9200134277344,,0.0,0.0,0.0,0
2022-09-14,394.6000061035156,396.20001220703125,391.1199951171875,,0.0,0.0,0.0,0
2022-09-15,390.1199951171875,395.9599914550781,388.7799987792969,,0.0,0.0,0.0,0
2022-09-16,385.55999755859375,386.25,382.1099853515625,,0.0,0.0,0.0,0
2022-09-19,388.54998779296875,388.54998779296875,382.17999267578125,,0.0,0.0,0.0,0
2022-09-20,384.0899963378906,386.1199951171875,381.20001220703125,,0.0,0.0,0.0,0
2022-09-21,377.3900146484375,389.30999755859375,377.3800048828125,,0.0,0.0,0.0,0
2022-09-22,374.2200012207031,378.29998779296875,373.44000244140625,,0.0,0.0,0.0,0
2022-09-23,367.95001220703125,370.6199951171875,363.2900085449219,,0.0,0.0,0.0,0
2022-09-26,364.30999755859375,370.2099914550781,363.0299987792969,,0.0,0.0,0.0,0
2022-09-27,363.3800048828125,370.3999938964844,360.8699951171875,,0.0,0.0,0.0,0
2022-09-28,370.5299987792969,372.29998779296875,362.6000061035156,,0.0,0.0,0.0,0
2022-09-29,362.7900085449219,367.1099853515625,359.70001220703125,,0.0,0.0,0.0,0
2022-09-30,357.17999267578125,365.9100036621094,357.0400085449219,,0.0,0.0,0.0,0
2022-10-03,366.6099853515625,368.54998779296875,359.2099914550781,,0.0,0.0,0.0,0
2022-10-04,377.9700012207031,378.0,366.57000732421875,,0.0,0.0,0.0,0
