Date,Close,High,Low,P_trade,AllowTrade,TA_Direction,DesiredPos,Position
2022-07-01,138.92999267578125,139.0399932861328,135.66000366210938,,0.0,0.0,0.0,0
2022-07-05,141.55999755859375,141.61000061035156,136.92999267578125,,0.0,0.0,0.0,0
2022-07-06,142.9199981689453,144.1199951171875,141.0800018310547,,0.0,0.0,0.0,0
2022-07-07,146.35000610351562,146.5500030517578,143.27999877929688,,0.0,0.0,0.0,0
2022-07-08,147.0399932861328,147.5500030517578,145.0,,0.0,0.0,0.0,0
2022-07-11,144.8699951171875,146.63999938964844,143.77999877929688,,0.0,0.0,0.0,0
2022-07-12,145.86000061035156,148.4499969482422,145.0500030517578,,0.0,0.0,0.0,0
2022-07-13,145.49000549316406,146.4499969482422,142.1199951171875,,0.0,0.0,0.0,0
2022-07-14,148.47000122070312,148.9499969482422,143.25,,0.0,0.0,0.0,0
2022-07-15,150.1699981689453,150.86000061035156,148.1999969482422,,0.0,0.0,0.0,0
2022-07-18,147.07000732421875,151.57000732421875,146.6999969482422,,0.0,0.0,0.0,0
2022-07-19,151.0,151.22999572753906,146.91000366210938,,0.0,0.0,0.0,0
2022-07-20,153.0399932861328,153.72000122070312,150.3699951171875,,0.0,0.0,0.0,0
2022-07-21,155.35000610351562,155.57000732421875,151.94000244140625,,0.0,0.0,0.0,0
2022-07-22,154.08999633789062,156.27999877929688,153.41000366210938,,0.0,0.0,0.0,0
2022-07-25,152.9499969482422,155.0399932861328,152.27999877929688,,0.0,0.0,0.0,0
2022-07-26,151.60000610351562,153.08999633789062,150.8000030517578,,0.0,0.0,0.0,0
2022-07-27,156.7899932861328,157.3300018310547,152.16000366210938,,0.0,0.0,0.0,0
2022-07-28,157.35000610351562,157.63999938964844,154.41000366210938,,0.0,0.0,0.0,0
2022-07-29,162.50999450683594,163.6300048828125,159.5,,0.0,0.0,0.0,0
2022-08-01,161.50999450683594,163.58999633789062,160.88999938964844,,0.0,0.0,0.0,0
2022-08-02,160.00999450683594,162.41000366210938,159.6300048828125,,0.0,0.0,0.0,0
2022-08-03,166.1300048828125,166.58999633789062,160.75,,0.0,0.0,0.0,0
2022-08-04,165.80999755859375,167.19000244140625,164.42999267578125,,0.0,0.0,0.0,0
2022-08-05,165.35000610351562,165.85000610351562,163.0,,0.0,0.0,0.0,0
2022-08-08,164.8699951171875,167.80999755859375,164.1999969482422,,0.0,0.0,0.0,0
2022-08-09,164.9199981689453,165.82000732421875,163.25,,0.0,0.0,0.0,0
