Date,Close,High,Low,P_trade,AllowTrade,TA_Direction,DesiredPos,Position
2022-07-01,227.26333618164062,230.22999572753906,222.1199951171875,,0.0,0.0,0.0,0
2022-07-05,233.06666564941406,233.14666748046875,216.1666717529297,,0.0,0.0,0.0,0
2022-07-06,231.73333740234375,234.56333923339844,227.18666076660156,,0.0,0.0,0.0,0
2022-07-07,244.5433349609375,245.3633270263672,232.2100067138672,,0.0,0.0,0.0,0
2022-07-08,250.76333618164062,254.97999572753906,241.16000366210938,,0.0,0.0,0.0,0
2022-07-11,234.3433380126953,253.06333923339844,233.6266632080078,,0.0,0.0,0.0,0
2022-07-12,233.07000732421875,239.77333068847656,228.3699951171875,,0.0,0.0,0.0,0
2022-07-13,237.0399932861328,242.05999755859375,225.03334045410156,,0.0,0.0,0.0,0
2022-07-14,238.31333923339844,238.65333557128906,229.3333282470703,,0.0,0.0,0.0,0
2022-07-15,240.06666564941406,243.6233367919922,236.88999938964844,,0.0,0.0,0.0,0
2022-07-18,240.54666137695312,250.51666259765625,239.60333251953125,,0.0,0.0,0.0,0
2022-07-19,245.52999877929688,247.13999938964844,236.97666931152344,,0.0,0.0,0.0,0
2022-07-20,247.5,250.663330078125,243.48333740234375,,0.0,0.0,0.0,0
2022-07-21,271.7066650390625,273.26666259765625,254.86666870117188,,0.0,0.0,0.0,0
2022-07-22,272.24334716796875,280.78668212890625,270.71331787109375,,0.0,0.0,0.0,0
2022-07-25,268.4333190917969,274.14666748046875,267.3999938964844,,0.0,0.0,0.0,0
2022-07-26,258.8599853515625,267.30999755859375,256.2633361816406,,0.0,0.0,0.0,0
2022-07-27,274.82000732421875,275.9266662597656,261.7900085449219,,0.0,0.0,0.0,0
2022-07-28,280.8999938964844,283.29998779296875,272.79998779296875,,0.0,0.0,0.0,0
2022-07-29,297.1499938964844,298.32000732421875,279.1000061035156,,0.0,0.0,0.0,0
2022-08-01,297.27667236328125,311.8766784667969,295.0,,0.0,0.0,0.0,0
